"book_num"|"verse_num"|"line_str"
1|1|Listen to this reed how it complains, telling a tale of separations––
1|2|Saying, “Ever since I was parted from the reed-bed, man and woman have moaned in (unison with) my lament.
1|3|I want a bosom torn by severance, that I may unfold (to such a one) the pain of love-desire.
1|4|Every one who is left far from his source wishes back the time when he was united with it.
1|5|In every company I uttered my wailful notes, I consorted with the unhappy and with them that rejoice.
1|6|Every one became my friend from his own opinion; none sought out my secrets from within me.
1|7|My secret is not far from my plaint, but ear and eye lack the light (whereby it should be apprehended).
1|8|Body is not veiled from soul, nor soul from body, yet none is permitted to see the soul.
1|9|This noise of the reed is fire, it is not wind: whoso hath not this fire, may he be naught!
1|10|’Tis the fire of Love that is in the reed, ’tis the fervour of Love that is in the wine.
1|11|The reed is the comrade of every one who has been parted from a friend: its strains pierced our hearts.
1|12|Who ever saw a poison and antidote like the reed? Who ever saw a sympathiser and a longing lover like the reed?
1|13|The reed tells of the Way full of blood and recounts stories of the passion of Majnún.
1|14|Only to the senseless is this sense confided: the tongue hath no customer save the ear.
1|15|In our woe the days (of life) have become untimely: our days travel hand in hand with burning griefs.
1|16|If our days are gone, let them go!—’tis no matter. Do Thou remain, for none is holy as Thou art!
1|17|Except the fish, everyone becomes sated with water; whoever is without daily bread finds the day long.
1|18|None that is raw understands the state of the ripe: therefore my words must be brief. Farewell!
1|19|O son, burst thy chains and be free! How long wilt thou be a bondsman to silver and gold?
1|20|If thou pour the sea into a pitcher, how much will it hold? One day's store.
1|21|The pitcher, the eye of the covetous, never becomes full: the oyster-shell is not filled with pearls until it is contented.
1|22|He (alone) whose garment is rent by a (mighty) love is purged entirely of covetousness and defect.
1|23|Hail, our sweet-thoughted Love —thou that art the physician of all our ills,
1|24|The remedy of our pride and vainglory, our Plato and our Galen!
1|25|Through Love the earthly body soared to the skies: the mountain began to dance and became nimble.
1|26|Love inspired Mount Sinai, O lover, (so that) Sinai (was made) drunken and Moses fell in a swoon.
1|27|Were I joined to the lip of one in accord with me, I too, like the reed, would tell all that may be told;
1|28|(But) whoever is parted from one who speaks his language becomes dumb, though he have a hundred songs.
1|29|When the rose is gone and the garden faded, thou wilt hear no more the nightingale's story.
1|30|The Beloved is all and the lover (but) a veil; the Beloved is living and the lover a dead thing.
1|31|When Love hath no care for him, he is left as a bird without wings. Alas for him then!
1|32|How should I have consciousness (of aught) before or behind when the light of my Beloved is not before me and behind?
1|33|Love wills that this Word should be shown forth: if the mirror does not reflect, how is that?
1|34|Dost thou know why the mirror (of thy soul) reflects nothing? Because the rust is not cleared from its face.
1|35|O my friends, hearken to this tale: in truth it is the very marrow of our inward state.
1|36|In olden time there was a king to whom belonged the power temporal and also the power spiritual.
1|37|It chanced that one day he rode with his courtiers to the chase.
1|38|On the king's highway the king espied a handmaiden: the king was enthralled by her.
1|39|Forasmuch as the bird, his soul, was fluttering in its cage, he gave money and bought the handmaiden.
1|40|After he had bought her and won to his desire, by Divine destiny she sickened.
1|41|A certain man had an ass but no pack-saddle: (as soon as) he got a saddle, the wolf carried away his ass.
1|42|He had a pitcher, but no water could be obtained: when he found water, the pitcher broke.
1|43|The king gathered the physicians together from left and right and said to them, “The life of us both is in your hands.
1|44|My life is of no account, (but) she is the life of my life. I am in pain and wounded: she is my remedy.
1|45|Whoever heals her that is my life will bear away with him my treasure and pearls, large and small.”
1|46|They all answered him, saying, “We will hazard our lives and summon all our intelligence and put it into the common stock.
1|47|Each one of us is a learned Messiah: in our hands is a medicine for every pain.”
1|48|In their arrogance they did not say, “If God will”; therefore God showed unto them the weakness of Man.
1|49|I mean (a case in which) omission of the saving clause is (due to) a hardness of heart; not the mere saying of these words, for that is a superficial circumstance.
1|50|How many a one has not pronounced the saving clause, and yet his soul is in harmony with the soul of it!
1|51|The more cures and remedies they applied, the more did the illness increase, and the need was not fulfilled.
1|52|The sick girl became (thin) as a hair, (while) the eyes of the king flowed with tears of blood, like a river.
1|53|By Divine destiny, oxymel increased the bile, and oil of almonds was producing dryness.
1|54|From (giving) myrobalan constipation resulted, relaxation ceased; and water fed the flames, like naphtha.
1|55|When the king saw the powerlessness of those physicians, he ran bare-footed to the mosque.
